IID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
JSB100-1	-0.008704181467399687	0.024361621134255343	0.004238775986844267	-0.01696598875267644	0.007112560919746875	3.670157386873418e-4	-0.004382911986794976	7.541276542732072e-5	-0.005592881165667583	1.2675140908257514e-4
JSB100-2	-0.007327124786414858	0.02172900536403168	-2.652158687358684e-4	-0.014305346208722555	-0.01523126527189871	0.0015070933549654456	0.01334365904808715	-0.002330910915876578	-0.0014976340632538562	-0.0026304527015221027
JSB100-3	-0.00921846839350368	0.023622118053695365	0.0037383587785569865	-0.01613193047416586	0.01262583532264522	-0.0016430826003757059	-0.00787920022695897	-1.5232118516130751e-5	-0.005190215629002403	-4.049070693298303e-4
JSB100-4	-0.008486412150633626	0.024078774977832586	0.004910134610634641	-0.01822558086581057	0.0056109104839169805	-9.258947885279081e-4	-0.003310235168422636	9.946855827282423e-4	1.5566593086724207e-4	-5.814756022988393e-4
JSB100-5	-0.014164265004415026	-0.030512622740115257	4.5190503238221687e-4	-0.014070579233282346	-8.017139382777794e-4	0.0016372289754271517	-7.447582794281975e-4	3.306905393637875e-4	-0.002765528860911792	0.00265691729469567
JSB100-6	-0.008972401613362891	0.024078774977832586	0.004165384088790328	-0.015413498669387212	0.0076638141782286	-0.0011308904173772181	-0.005517244390019867	-0.0012242982489329656	-0.0046037180222765275	0.0017811732684480024
JSB100-7	-0.00800984075293173	0.0233880908779312	0.002887619983901414	-0.01575417246670992	-0.00306442301824251	-0.0015194925669171752	0.004304744380750107	6.337560692514694e-4	-0.003432133866150423	-0.0028155721689034825
JSB100-8	-0.009730966896845968	0.011509141175257129	0.02129051041180219	0.005707379565988418	0.007111443613501281	9.783688893646514e-4	-0.004418259803329103	-9.061160906552794e-5	0.0030731632741285656	-0.0024544643631436353
JSB113-1	-0.009650329222162938	0.003099093477629559	0.03483423683662108	0.021585178527567885	-0.0025962625430908737	-0.0021923134549735913	0.0033333595550809852	-0.0025502049395252197	0.004374863657037369	-0.009859436054520434
JSB113-2	-0.007954615988781968	0.02366827763462937	0.002312783522278849	-0.015542882188813735	-0.005215200908018548	0.0013740215711908863	0.004820575010755201	0.0024583388332579765	-0.0012333597675183866	-0.0017441180131019674
JSB113-3	-0.009070461987208341	0.023604831955485513	0.0032381877416629997	-0.0170059888583645	0.0068086810956891584	-0.0015385963301278718	-0.0028389435429494523	0.0018310673630685126	-0.002655837091012178	0.0034489975022323686
JSB113-4	-0.008911162556538685	0.02354043649072573	0.004266511297155349	-0.01586878959198057	0.007629434115556811	-0.002320017857405547	-0.004969145416540542	0.0020835219179811577	-0.0036092335186319754	9.118897873706916e-5
JSB115-1	-0.00739062821721961	0.021459836120478252	-9.900324158368368e-4	-0.012445191761122356	-0.013796076241185805	0.001293473447697523	0.009955010671473762	-0.0012793790348290708	-0.006088066622066035	0.002025096241627534
JSB115-2	0.003694766043569928	0.0035415796003771603	0.018979059497332373	0.010613859819583366	-0.003576002746757748	0.005562467887814322	0.0017317785155535697	-6.607670371658932e-4	0.0018619738479809282	-0.004572476175061048
JSB115-3	-0.008762622507967676	0.0242466970747283	0.0038631512635306344	-0.015997201146222148	0.010228755513451196	3.8511802708655267e-4	-0.007124814343412231	0.0016591357257976305	9.370915406408241e-4	0.0036578554925698024
JSB115-4	-0.007645117891657464	0.021341492832733875	-2.4076120252607974e-4	-0.013080670075693704	-0.02032728074155533	0.004260672193784189	0.014237745321458366	-0.001842787895670445	-0.005093761490115421	-0.0027282293616246287
JSB115-5	-0.00861086618297844	0.007381068957045668	-0.024006010639797945	0.020208053393608278	0.003125068935933665	-9.23718848391281e-4	-3.6813305646126864e-4	9.353625357635352e-4	-0.004839890752628361	-0.004792757123345323
JSB115-6	-0.008753694816923356	0.024066807679071916	0.004476577552765908	-0.016534623126943232	0.006922820339450086	6.091080143352204e-6	-0.004397279712329024	7.907574631873827e-4	3.735846018326417e-5	0.005242799954387174
JSB115-8	-0.007137018331398403	0.02118534807747564	-4.604685145835911e-4	-0.01251180875956733	-0.024673510454435322	0.003397608494899764	0.01318297856726259	-0.0032145247274027425	-0.007044022085852683	-0.0023990503517309775
JSB116-1	-0.008969993011740273	0.022528154981271805	0.0031850114384263323	-0.0159760795950878	0.007257398610517883	-5.755674914470913e-4	-0.008941306706822041	0.0018320964830042922	-5.747774602439598e-4	0.005316789842503248
JSB116-2	-0.008529867939190229	0.023993674186645615	0.003991685553682346	-0.016889839018763748	0.0037183860270876157	0.0012252310277701297	-0.0048731999936284295	0.0043670247088161635	-0.002038894128768542	0.003917459400628841
